Category,Data
innodb_buffer_pool_size1,"[5242880, 6291456, 7340032, 9437184, 13631488, 22020096, 38797312, 72351744, 139460608, 273678336, 542113792, 1078984704, 2152726528, 4300210176, 8595177472, 17185112064, 34359738368]"
innodb_buffer_pool_size1,"[1.273, 2.175, 3.144, 4.207, 5.124, 6.06, 6.917, 7.271, 8.144, 8.934, 10.833, 10.929, 11.809, 13.661, 13.879, 15.309, 16.357]"
innodb_buffer_pool_size1,"[1.245, 2.19, 3.146, 3.993, 4.951, 5.542, 6.794, 7.557, 8.719, 9.232, 9.866, 10.816, 12.638, 12.992, 13.811, 14.405, 15.833]"
innodb_buffer_pool_size1,"[1.345, 2.093, 3.024, 3.948, 5.12, 5.667, 6.799, 7.497, 8.956, 9.1, 9.864, 10.87, 11.653, 12.462, 13.733, 15.231, 15.004]"
innodb_buffer_pool_size1,"[1.267, 2.253, 3.181, 3.808, 4.766, 5.693, 6.651, 7.506, 8.725, 9.604, 10.854, 11.446, 12.03, 13.272, 13.826, 14.098, 14.912]"
innodb_buffer_pool_size1,"[1.294, 2.122, 2.983, 4.042, 4.806, 5.79, 6.992, 7.374, 8.577, 9.034, 9.796, 11.203, 11.55, 13.224, 14.404, 14.281, 15.623]"
innodb_buffer_pool_size1,"[2.944, 4.267, 5.628, 7.149, 8.613, 9.553, 10.755, 11.679, 12.792, 14.826, 16.739, 17.073, 18.089, 20.862, 21.444, 23.448, 24.665]"
innodb_buffer_pool_size1,"[3.128, 4.412, 5.516, 6.551, 7.945, 9.374, 10.318, 11.927, 13.941, 14.097, 15.928, 17.366, 17.806, 20.825, 21.133, 21.519, 23.917]"
innodb_buffer_pool_size1,"[3.022, 4.476, 5.417, 7.162, 7.814, 9.463, 10.331, 12.669, 13.538, 15.259, 16.765, 16.516, 18.824, 19.283, 20.371, 22.419, 23.883]"
innodb_buffer_pool_size1,"[3.074, 4.423, 5.647, 6.936, 7.778, 9.27, 10.789, 12.439, 13.368, 15.374, 15.667, 17.458, 19.121, 20.781, 21.726, 23.439, 23.899]"
innodb_buffer_pool_size1,"[3.074, 4.297, 5.387, 7.179, 7.934, 9.981, 11.103, 12.623, 12.885, 13.922, 16.249, 17.585, 18.044, 19.34, 21.851, 21.451, 23.238]"
innodb_buffer_pool_size1,"[4.294, 6.232, 7.579, 10.092, 11.691, 13.118, 15.434, 17.567, 19.851, 21.944, 24.135, 25.658, 26.589, 28.982, 30.425, 31.991, 35.127]"
innodb_buffer_pool_size1,"[3.985, 5.739, 7.92, 10.125, 12.249, 14.323, 15.885, 16.948, 19.85, 22.015, 24.561, 26.577, 26.112, 28.998, 31.186, 31.732, 34.456]"
innodb_buffer_pool_size1,"[4.093, 5.937, 7.998, 9.966, 11.588, 13.231, 15.181, 17.497, 19.741, 22.563, 23.855, 26.569, 27.382, 29.93, 32.366, 32.064, 36.371]"
innodb_buffer_pool_size1,"[4.234, 6.046, 8.365, 9.767, 11.752, 13.203, 16.226, 17.316, 20.182, 21.132, 22.869, 26.471, 27.859, 27.784, 31.447, 34.322, 36.009]"
innodb_buffer_pool_size1,"[4.028, 5.848, 8.349, 9.713, 11.467, 14.039, 16.303, 17.123, 19.764, 21.92, 22.615, 24.894, 26.196, 29.122, 31.585, 33.227, 35.487]"
innodb_buffer_pool_size2,"[5242880, 6291456, 7340032, 9437184, 13631488, 22020096, 38797312, 72351744, 139460608, 273678336, 542113792, 1078984704, 2152726528, 4300210176, 8595177472, 17185112064, 34364981248, 68724719616, 137444196352, 274883149824, 549761056768, 1099516870656, 2199028498432, 4398051753984, 8796098265088, 17592191287296, 35184377331712, 70368749420544, 140737493598208, 281474981953536, 562949958664192, 1125899912085504, 2251799818928128, 4503599632613376, 9007199259983872, 18014398514724864, 36028797024206848, 72057594043170816, 144115188081098752, 288230376156954624, 576460752308666368, 1152921504612089856, 2305843009218936832, 4611686018432630784, 9223372036860018688, 18446744073709551615]"
innodb_buffer_pool_size2,"[0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.01, 0.022, 0.047, 0.114, 0.271, 0.722, 1.81, 4.795, 10.341, 18.745, 47.079, 125.278, 249.367, 535.859, 1407.059, 3208.493, 3529.343, 3882.277, 4270.505, 4697.555, 5167.31, 5684.041, 6252.446, 6877.69, 7565.459, 8322.005, 9154.206, 10069.626, 11076.589, 12184.248, 13402.673, 14742.94, 16217.234, 17838.957, 19622.853, 21585.138, 23743.652, 26118.017, 28729.819, 31602.801]"
innodb_buffer_pool_size2,"[0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.007, 0.016, 0.035, 0.073, 0.173, 0.419, 0.954, 2.048, 4.751, 8.927, 23.715, 43.676, 74.01, 183.937, 348.392, 932.349, 2558.806, 2814.686, 3096.155, 3405.77, 3746.347, 4120.982, 4533.08, 4986.389, 5485.027, 6033.53, 6636.883, 7300.571, 8030.629, 8833.691, 9717.061, 10688.767, 11757.643, 12933.408, 14226.748, 15649.423, 17214.365, 18935.802, 20829.382, 22912.32]"
innodb_buffer_pool_size2,"[0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.01, 0.026, 0.06, 0.154, 0.301, 0.703, 1.405, 2.34, 4.168, 8.082, 14.256, 25.02, 44.267, 99.078, 188.983, 498.941, 984.461, 1645.384, 3351.119, 3686.231, 4054.854, 4460.339, 4906.373, 5397.011, 5936.712, 6530.383, 7183.421, 7901.763, 8691.94, 9561.134, 10517.247, 11568.972, 12725.869, 13998.456, 15398.301, 16938.131, 18631.944, 20495.139, 22544.653, 24799.118]"
innodb_buffer_pool_size2,"[0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.008, 0.019, 0.04, 0.086, 0.192, 0.424, 1.052, 2.563, 4.498, 11.808, 26.271, 45.707, 86.488, 147.777, 339.996, 749.263, 1927.095, 2119.805, 2331.785, 2564.964, 2821.46, 3103.606, 3413.967, 3755.363, 4130.9, 4543.99, 4998.389, 5498.227, 6048.05, 6652.855, 7318.141, 8049.955, 8854.95, 9740.445, 10714.49, 11785.939, 12964.533, 14260.986, 15687.084, 17255.793]"
innodb_buffer_pool_size2,"[0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.01, 0.022, 0.053, 0.121, 0.218, 0.511, 1.155, 2.635, 4.972, 13.127, 22.313, 59.3, 142.018, 344.82, 698.801, 1839.629, 2023.592, 2225.951, 2448.546, 2693.401, 2962.741, 3259.015, 3584.917, 3943.408, 4337.749, 4771.524, 5248.677, 5773.544, 6350.899, 6985.989, 7684.587, 8453.046, 9298.351, 10228.186, 11251.004, 12376.105, 13613.715, 14975.087, 16472.596, 18119.855]"
innodb_buffer_pool_size2,"[0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.008, 0.014, 0.034, 0.064, 0.146, 0.325, 0.795, 2.133, 5.466, 11.111, 30.091, 58.532, 132.161, 322.128, 698.41, 1899.04, 2088.943, 2297.838, 2527.622, 2780.384, 3058.422, 3364.264, 3700.691, 4070.76, 4477.836, 4925.62, 5418.181, 5960.0, 6556.0, 7211.6, 7932.759, 8726.035, 9598.639, 10558.503, 11614.353, 12775.788, 14053.367, 15458.704, 17004.574, 18705.032]"
innodb_buffer_pool_size2,"[0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.01, 0.02, 0.038, 0.087, 0.152, 0.322, 0.796, 1.705, 4.103, 7.595, 15.993, 27.333, 56.656, 132.171, 282.911, 509.923, 1038.815, 2599.967, 2859.964, 3145.96, 3460.556, 3806.612, 4187.273, 4606.001, 5066.601, 5573.261, 6130.587, 6743.645, 7418.01, 8159.811, 8975.792, 9873.371, 10860.708, 11946.779, 13141.457, 14455.603, 15901.163, 17491.279, 19240.407, 21164.448]"
