Category,Data
sslverifydepth1,"[0, 1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024]"
sslverifydepth1,"[2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
sslverifydepth1,"[2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
sslverifydepth1,"[2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
sslverifydepth1,"[2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
sslverifydepth1,"[3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
sslverifydepth1,"[2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
sslverifydepth1,"[5.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
sslverifydepth1,"[2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
sslverifydepth1,"[4.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
sslverifydepth1,"[4.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
sslverifydepth1,"[2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
sslverifydepth1,"[3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
sslverifydepth1,"[2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
sslverifydepth1,"[2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
sslverifydepth1,"[5.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
startservers1,"[0, 1, 2, 4, 8, 16, 32, 64]"
startservers1,"[1.0, 4.795, 15.276, 29.659, 37.309, 55.846, 60.108, 85.306]"
startservers1,"[0.974, 4.355, 16.981, 31.392, 42.425, 52.721, 67.95, 78.356]"
startservers1,"[0.85, 4.678, 15.04, 31.112, 37.169, 47.728, 66.349, 82.266]"
startservers1,"[1.022, 3.981, 18.542, 28.102, 42.07, 51.315, 59.282, 73.568]"
startservers1,"[0.99, 4.636, 15.335, 28.837, 41.983, 48.135, 63.083, 85.035]"
startservers1,"[1.067, 7.306, 23.504, 40.122, 52.906, 64.713, 94.251, 111.869]"
startservers1,"[1.104, 7.054, 24.873, 36.539, 56.846, 69.846, 94.581, 98.622]"
startservers1,"[0.984, 6.897, 22.114, 41.249, 57.129, 78.549, 93.686, 105.261]"
startservers1,"[1.143, 7.654, 23.159, 38.574, 56.511, 72.505, 87.193, 100.847]"
startservers1,"[1.127, 7.859, 25.409, 40.397, 60.27, 75.687, 82.163, 98.81]"
startservers1,"[0.774, 12.163, 27.999, 48.667, 59.484, 84.593, 113.051, 121.267]"
