Category,Data
innodb_buffer_pool_size3,"[5242880, 6291456, 7340032, 9437184, 13631488, 22020096, 38797312, 72351744, 139460608, 273678336, 542113792, 1078984704, 2152726528, 4300210176, 8595177472, 17185112064, 34359738368]"
innodb_buffer_pool_size3,"[0.985, 1.699, 2.377, 3.103, 3.978, 4.613, 5.087, 5.758, 6.525, 7.609, 8.555, 9.038, 9.48, 10.809, 11.341, 11.385, 12.82]"
innodb_buffer_pool_size3,"[1.008, 1.728, 2.373, 3.027, 3.997, 4.822, 5.47, 6.215, 6.842, 7.288, 8.1, 8.984, 9.559, 10.74, 11.055, 12.237, 12.653]"
innodb_buffer_pool_size3,"[1.017, 1.651, 2.528, 3.202, 3.727, 4.748, 5.1, 5.902, 6.819, 7.605, 8.375, 9.198, 9.902, 10.556, 10.698, 11.293, 12.654]"
innodb_buffer_pool_size3,"[1.023, 1.705, 2.395, 3.248, 3.773, 4.57, 5.336, 6.294, 6.545, 7.119, 7.873, 9.279, 9.515, 10.073, 11.167, 11.503, 11.943]"
innodb_buffer_pool_size3,"[0.98, 1.697, 2.405, 3.149, 3.817, 4.823, 5.562, 6.22, 6.966, 7.806, 8.173, 8.741, 9.875, 10.35, 11.028, 12.196, 12.882]"
innodb_buffer_pool_size3,"[3.543, 4.738, 5.403, 6.452, 7.079, 8.087, 8.661, 9.416, 10.233, 11.118, 12.805, 13.254, 14.139, 15.455, 14.914, 15.854, 18.088]"
innodb_buffer_pool_size3,"[3.802, 4.31, 5.154, 6.41, 6.829, 7.715, 9.128, 9.656, 10.645, 11.309, 12.534, 13.08, 13.92, 14.078, 15.627, 16.756, 18.073]"
innodb_buffer_pool_size3,"[3.827, 4.479, 5.23, 5.991, 7.133, 7.742, 9.021, 9.202, 10.424, 11.286, 12.637, 13.54, 13.67, 14.518, 15.466, 16.46, 17.266]"
innodb_buffer_pool_size3,"[3.752, 4.368, 5.303, 6.354, 7.035, 7.894, 8.763, 9.486, 10.689, 11.111, 11.686, 13.092, 14.534, 14.766, 16.409, 16.429, 17.529]"
innodb_buffer_pool_size3,"[3.552, 4.621, 5.616, 6.553, 7.019, 8.088, 8.845, 10.099, 10.878, 11.302, 12.243, 13.145, 14.547, 14.728, 15.631, 17.217, 18.017]"
innodb_buffer_pool_size3,"[4.016, 5.28, 6.749, 8.333, 9.543, 11.84, 12.27, 14.009, 16.594, 16.883, 17.836, 20.772, 22.281, 22.453, 25.468, 24.755, 27.104]"
innodb_buffer_pool_size3,"[4.0, 5.506, 6.809, 8.695, 9.449, 11.406, 13.159, 14.011, 15.224, 16.699, 19.572, 21.062, 21.823, 22.563, 25.716, 25.849, 26.258]"
innodb_buffer_pool_size3,"[4.061, 5.618, 6.87, 8.726, 10.103, 11.583, 13.467, 14.018, 16.58, 17.511, 18.486, 20.619, 21.383, 22.546, 24.933, 24.897, 26.737]"
innodb_buffer_pool_size3,"[4.001, 5.822, 6.718, 8.09, 10.318, 11.126, 12.839, 14.03, 15.614, 17.325, 18.514, 19.342, 22.154, 22.472, 23.588, 26.748, 26.555]"
innodb_buffer_pool_size3,"[4.306, 5.58, 7.11, 8.655, 10.357, 11.512, 12.274, 13.757, 15.305, 17.268, 19.193, 20.169, 21.079, 23.282, 23.999, 26.896, 28.447]"
innodb_buffer_pool_size4,"[5242880, 6291456, 7340032, 9437184, 13631488, 22020096, 38797312, 72351744, 139460608, 273678336, 542113792, 1078984704, 2152726528, 4300210176, 8595177472, 17185112064, 34359738368]"
innodb_buffer_pool_size4,"[1.331, 1.3, 1.294, 1.288, 1.331, 1.287, 1.305, 1.301, 1.305, 1.323, 1.287, 2.104, 3.64, 5.108, 7.878, 11.725, 15.695]"
innodb_buffer_pool_size4,"[1.342, 1.287, 1.303, 1.286, 1.338, 1.293, 1.282, 1.288, 1.32, 1.32, 1.289, 1.916, 2.951, 4.042, 6.778, 11.254, 16.072]"
innodb_buffer_pool_size4,"[1.3, 1.325, 1.3, 1.305, 1.305, 1.322, 1.297, 1.313, 1.333, 1.298, 1.302, 2.001, 2.967, 4.738, 7.309, 12.563, 21.629]"
innodb_buffer_pool_size4,"[1.314, 1.308, 1.322, 1.338, 1.308, 1.292, 1.319, 1.281, 1.294, 1.29, 1.33, 2.053, 3.341, 4.725, 7.866, 12.348, 20.113]"
innodb_buffer_pool_size4,"[1.294, 1.326, 1.304, 1.308, 1.315, 1.303, 1.324, 1.309, 1.324, 1.314, 1.332, 2.179, 3.091, 5.213, 8.572, 12.656, 17.911]"
innodb_buffer_pool_size4,"[2.1, 2.115, 2.161, 2.121, 2.139, 2.096, 2.075, 2.168, 2.125, 2.164, 2.089, 3.172, 4.398, 6.098, 9.907, 16.831, 26.423]"
innodb_buffer_pool_size4,"[2.158, 2.164, 2.081, 2.124, 2.076, 2.117, 2.099, 2.113, 2.122, 2.158, 2.135, 2.919, 4.677, 7.334, 10.113, 14.39, 24.958]"
innodb_buffer_pool_size4,"[2.073, 2.08, 2.089, 2.087, 2.152, 2.079, 2.146, 2.105, 2.121, 2.119, 2.146, 3.322, 5.409, 7.135, 10.459, 17.049, 26.745]"
