Category,Data
innodb_buffer_pool_size4,"[2.146, 2.079, 2.1, 2.124, 2.125, 2.083, 2.144, 2.1, 2.081, 2.135, 2.1, 3.091, 4.161, 5.601, 7.779, 12.42, 19.789]"
innodb_buffer_pool_size4,"[2.122, 2.086, 2.128, 2.137, 2.076, 2.106, 2.161, 2.079, 2.134, 2.139, 2.137, 3.517, 4.805, 6.977, 9.368, 13.559, 22.648]"
innodb_buffer_pool_size4,"[3.956, 3.891, 4.057, 4.064, 3.991, 3.97, 3.952, 4.027, 3.888, 3.904, 3.998, 6.038, 9.763, 16.013, 24.916, 38.951, 65.127]"
innodb_buffer_pool_size4,"[3.953, 4.006, 4.012, 3.945, 4.035, 3.964, 3.951, 3.968, 3.892, 3.95, 4.021, 6.671, 9.658, 13.081, 20.42, 30.322, 46.887]"
innodb_buffer_pool_size4,"[3.915, 4.023, 4.034, 4.065, 4.004, 3.975, 3.916, 4.014, 3.931, 4.028, 3.978, 5.397, 9.102, 11.987, 19.739, 30.773, 51.789]"
innodb_buffer_pool_size4,"[3.953, 4.026, 3.889, 3.892, 3.951, 3.999, 3.89, 3.9, 3.99, 4.06, 4.026, 6.704, 11.598, 15.527, 23.733, 31.999, 50.941]"
innodb_buffer_pool_size4,"[4.016, 3.886, 3.969, 4.004, 4.026, 4.063, 4.03, 3.936, 4.003, 3.956, 3.928, 5.844, 8.079, 13.39, 20.461, 32.053, 45.039]"
innodb_sort_buffer_size2,"[65536, 66560, 67584, 69632, 73728, 81920, 98304, 131072, 196608, 327680, 589824, 1114112, 2162688, 4259840, 8454144, 16842752, 33619968, 67108864]"
innodb_sort_buffer_size2,"[0.071, 0.069, 0.07, 0.07, 0.069, 0.069, 0.069, 0.07, 0.068, 0.07, 0.07, 0.101, 0.169, 0.282, 0.508, 0.856, 1.86, 3.587]"
innodb_sort_buffer_size2,"[0.07, 0.069, 0.07, 0.07, 0.07, 0.068, 0.069, 0.068, 0.07, 0.069, 0.07, 0.106, 0.163, 0.219, 0.376, 0.637, 1.268, 2.751]"
innodb_sort_buffer_size2,"[0.069, 0.071, 0.07, 0.068, 0.069, 0.07, 0.071, 0.07, 0.069, 0.071, 0.069, 0.106, 0.134, 0.211, 0.34, 0.59, 1.167, 2.125]"
innodb_sort_buffer_size2,"[0.07, 0.069, 0.072, 0.069, 0.07, 0.068, 0.069, 0.071, 0.07, 0.069, 0.069, 0.104, 0.147, 0.261, 0.387, 0.626, 1.063, 2.277]"
innodb_sort_buffer_size2,"[0.069, 0.07, 0.069, 0.071, 0.069, 0.071, 0.069, 0.07, 0.071, 0.069, 0.069, 0.1, 0.152, 0.257, 0.482, 0.791, 1.659, 3.391]"
innodb_sort_buffer_size2,"[0.163, 0.164, 0.165, 0.159, 0.159, 0.162, 0.159, 0.161, 0.162, 0.159, 0.158, 0.24, 0.368, 0.582, 0.91, 1.721, 2.844, 5.63]"
innodb_sort_buffer_size2,"[0.159, 0.16, 0.164, 0.165, 0.163, 0.159, 0.163, 0.164, 0.159, 0.162, 0.158, 0.232, 0.321, 0.527, 0.776, 1.453, 2.457, 4.354]"
innodb_sort_buffer_size2,"[0.159, 0.16, 0.16, 0.158, 0.162, 0.16, 0.162, 0.158, 0.161, 0.166, 0.162, 0.239, 0.29, 0.451, 0.721, 1.268, 2.663, 5.577]"
innodb_sort_buffer_size2,"[0.16, 0.159, 0.163, 0.161, 0.158, 0.159, 0.163, 0.164, 0.159, 0.162, 0.159, 0.234, 0.329, 0.573, 1.044, 1.744, 2.895, 5.318]"
innodb_sort_buffer_size2,"[0.165, 0.165, 0.163, 0.161, 0.159, 0.159, 0.163, 0.165, 0.164, 0.16, 0.159, 0.236, 0.302, 0.522, 0.842, 1.244, 2.284, 3.891]"
innodb_sort_buffer_size2,"[0.363, 0.372, 0.364, 0.376, 0.369, 0.372, 0.367, 0.368, 0.364, 0.364, 0.378, 0.594, 0.833, 1.268, 1.82, 2.944, 5.233, 10.176]"
innodb_sort_buffer_size2,"[0.367, 0.363, 0.377, 0.365, 0.375, 0.363, 0.372, 0.365, 0.37, 0.364, 0.364, 0.523, 0.781, 1.156, 1.683, 3.063, 6.183, 10.415]"
innodb_sort_buffer_size2,"[0.369, 0.368, 0.378, 0.366, 0.377, 0.377, 0.373, 0.364, 0.366, 0.364, 0.374, 0.56, 0.817, 1.122, 1.888, 3.13, 5.297, 10.266]"
innodb_sort_buffer_size2,"[0.378, 0.364, 0.377, 0.364, 0.372, 0.362, 0.37, 0.37, 0.37, 0.377, 0.369, 0.535, 0.716, 1.042, 2.008, 3.172, 5.143, 10.135]"
innodb_sort_buffer_size2,"[0.362, 0.371, 0.372, 0.367, 0.379, 0.369, 0.376, 0.377, 0.368, 0.379, 0.367, 0.518, 0.793, 1.273, 2.28, 3.769, 7.05, 14.195]"
query_cache_size4,"[0, 50176, 51200, 52224, 54272, 58368, 66560, 82944, 115712, 181248, 312320, 574464, 1098752, 2147328, 4244480, 8438784, 16827392, 33604608, 67159040, 134267904, 268485632, 536921088, 1073792000, 2147533824, 4295017472, 8589984768, 17179919360, 34359738368]"
query_cache_size4,"[169.02, 148.597, 132.996, 133.364, 132.152, 106.587, 100.758, 83.587, 73.555, 64.695, 51.846, 46.072, 33.287, 32.954, 33.596, 33.046, 33.527, 33.44, 33.565, 33.561, 32.83, 33.367, 33.649, 33.353, 33.658, 33.167, 33.811, 33.853]"
query_cache_size4,"[185.882, 170.876, 140.733, 141.169, 111.094, 108.048, 94.686, 83.052, 69.591, 61.318, 50.548, 40.274, 30.842, 30.8, 30.516, 30.399, 31.07, 30.345, 30.494, 30.724, 30.867, 31.214, 30.793, 31.323, 30.849, 30.311, 30.545, 31.083]"
query_cache_size4,"[182.913, 142.664, 133.518, 127.681, 129.859, 109.747, 105.11, 97.349, 84.251, 70.524, 49.528, 45.969, 32.804, 33.338, 32.661, 32.809, 33.335, 32.469, 32.325, 32.774, 32.711, 33.207, 33.361, 32.237, 31.997, 33.514, 32.864, 32.491]"
query_cache_size4,"[184.912, 153.795, 133.499, 145.136, 131.345, 112.097, 100.552, 95.406, 78.952, 69.162, 53.079, 39.197, 33.553, 33.51, 34.115, 32.926, 33.097, 33.906, 32.854, 32.819, 33.865, 34.024, 33.896, 33.447, 34.031, 34.098, 33.264, 33.836]"
query_cache_size4,"[166.671, 144.593, 132.068, 135.646, 112.359, 111.751, 94.955, 91.675, 79.33, 71.027, 59.133, 44.283, 33.587, 33.456, 33.774, 33.339, 34.051, 32.997, 34.164, 33.019, 33.836, 34.047, 33.439, 34.145, 34.067, 32.766, 32.801, 33.37]"
query_cache_size4,"[564.514, 546.519, 554.535, 458.473, 465.249, 452.372, 364.294, 324.054, 281.065, 263.326, 220.952, 167.529, 122.801, 124.801, 120.085, 123.11, 120.748, 120.611, 122.658, 120.407, 122.136, 121.751, 120.299, 123.339, 123.423, 121.02, 124.604, 120.264]"
query_cache_size4,"[586.7, 559.692, 505.926, 533.648, 423.786, 390.205, 366.329, 361.17, 291.266, 282.093, 200.611, 167.873, 127.227, 129.09, 128.571, 127.422, 129.181, 127.311, 129.982, 124.554, 128.814, 129.648, 124.394, 127.884, 129.956, 126.765, 125.934, 127.858]"
query_cache_size4,"[610.494, 598.084, 541.115, 477.538, 414.96, 386.784, 408.094, 349.65, 272.093, 254.512, 209.446, 165.696, 131.084, 127.81, 128.318, 132.872, 129.197, 129.78, 132.98, 128.373, 127.847, 129.85, 129.08, 130.889, 133.564, 132.29, 133.307, 131.602]"
query_cache_size4,"[668.532, 543.607, 570.576, 532.906, 435.216, 412.906, 414.272, 363.333, 283.269, 279.271, 216.357, 165.525, 139.953, 142.649, 139.929, 137.314, 137.038, 138.521, 139.028, 141.345, 138.614, 137.164, 141.765, 139.986, 142.55, 137.507, 137.536, 140.512]"
query_cache_size4,"[670.874, 568.342, 594.42, 456.977, 468.024, 388.624, 357.77, 318.79, 325.504, 254.985, 223.148, 162.134, 134.085, 131.803, 130.924, 133.403, 134.303, 131.189, 130.797, 130.79, 133.837, 136.89, 135.228, 135.968, 135.234, 136.43, 135.539, 132.928]"
query_cache_size4,"[1573.232, 1470.688, 1285.852, 1126.56, 942.182, 853.886, 726.565, 700.902, 510.129, 394.782, 328.278, 170.1, 68.88, 70.223, 68.913, 67.601, 67.327, 67.17, 70.104, 69.425, 69.492, 68.577, 68.908, 68.004, 69.259, 70.016, 70.082, 70.076]"
query_cache_size4,"[1451.857, 1281.828, 1286.764, 1106.802, 1076.949, 838.551, 779.803, 635.692, 572.901, 401.006, 294.529, 172.694, 61.956, 61.316, 61.637, 62.681, 61.088, 62.143, 61.406, 62.682, 62.726, 61.844, 60.474, 60.701, 60.7, 60.973, 63.066, 63.23]"
query_cache_size4,"[1644.887, 1430.687, 1198.425, 1172.223, 949.905, 844.341, 867.307, 729.261, 532.793, 399.666, 281.646, 188.789, 64.156, 64.59, 65.175, 65.106, 64.19, 65.311, 64.175, 62.762, 64.178, 62.589, 63.345, 65.537, 65.141, 62.636, 65.383, 63.888]"
query_cache_size4,"[1653.182, 1304.131, 1220.369, 1059.93, 1093.195, 997.563, 823.901, 624.309, 520.207, 459.502, 302.874, 200.477, 67.111, 68.497, 67.433, 65.926, 67.251, 66.781, 65.437, 67.667, 66.508, 67.198, 66.353, 66.974, 65.588, 65.507, 68.346, 66.952]"
query_cache_size4,"[1459.328, 1483.706, 1195.96, 1067.568, 1040.68, 889.781, 811.102, 611.38, 537.29, 389.061, 325.302, 190.301, 69.264, 67.585, 69.276, 68.095, 68.718, 69.719, 69.011, 68.062, 68.208, 68.572, 70.101, 68.185, 67.829, 68.077, 68.323, 70.638]"
max_recursive_iterations1,"[0, 1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048, 4096, 8192, 16384, 32768, 65536, 131072, 262144, 524288, 1048576, 2097152, 4194304, 8388608, 16777216, 33554432, 67108864, 134217728, 268435456, 536870912, 1073741824, 2147483648, 4294967295]"
max_recursive_iterations1,"[0.0, 1.0, 1.1, 1.21, 1.331, 1.464, 1.611, 1.772, 1.949, 2.144, 2.358, 2.594, 2.853, 3.138, 3.452, 3.797, 4.177, 4.595, 5.054, 5.56, 6.116, 6.727, 7.4, 8.14, 8.954, 9.85, 10.835, 11.918, 13.11, 14.421, 15.863, 17.449, 19.194, 21.114]"
max_recursive_iterations1,"[0.0, 1.0, 1.1, 1.21, 1.331, 1.464, 1.611, 1.772, 1.949, 2.144, 2.358, 2.594, 2.853, 3.138, 3.452, 3.797, 4.177, 4.595, 5.054, 5.56, 6.116, 6.727, 7.4, 8.14, 8.954, 9.85, 10.835, 11.918, 13.11, 14.421, 15.863, 17.449, 19.194, 21.114]"
max_recursive_iterations1,"[0.0, 1.0, 1.1, 1.21, 1.331, 1.464, 1.611, 1.772, 1.949, 2.144, 2.358, 2.594, 2.853, 3.138, 3.452, 3.797, 4.177, 4.595, 5.054, 5.56, 6.116, 6.727, 7.4, 8.14, 8.954, 9.85, 10.835, 11.918, 13.11, 14.421, 15.863, 17.449, 19.194, 21.114]"
max_recursive_iterations1,"[0.0, 1.0, 1.1, 1.21, 1.331, 1.464, 1.611, 1.772, 1.949, 2.144, 2.358, 2.594, 2.853, 3.138, 3.452, 3.797, 4.177, 4.595, 5.054, 5.56, 6.116, 6.727, 7.4, 8.14, 8.954, 9.85, 10.835, 11.918, 13.11, 14.421, 15.863, 17.449, 19.194, 21.114]"
max_recursive_iterations1,"[0.0, 1.0, 1.1, 1.21, 1.331, 1.464, 1.611, 1.772, 1.949, 2.144, 2.358, 2.594, 2.853, 3.138, 3.452, 3.797, 4.177, 4.595, 5.054, 5.56, 6.116, 6.727, 7.4, 8.14, 8.954, 9.85, 10.835, 11.918, 13.11, 14.421, 15.863, 17.449, 19.194, 21.114]"
max_recursive_iterations1,"[0.0, 1.0, 1.1, 1.21, 1.331, 1.464, 1.611, 1.772, 1.949, 2.144, 2.358, 2.594, 2.853, 3.138, 3.452, 3.797, 4.177, 4.595, 5.054, 5.56, 6.116, 6.727, 7.4, 8.14, 8.954, 9.85, 10.835, 11.918, 13.11, 14.421, 15.863, 17.449, 19.194, 21.114]"
max_recursive_iterations1,"[0.0, 1.0, 1.1, 1.21, 1.331, 1.464, 1.611, 1.772, 1.949, 2.144, 2.358, 2.594, 2.853, 3.138, 3.452, 3.797, 4.177, 4.595, 5.054, 5.56, 6.116, 6.727, 7.4, 8.14, 8.954, 9.85, 10.835, 11.918, 13.11, 14.421, 15.863, 17.449, 19.194, 21.114]"
max_recursive_iterations1,"[0.0, 1.0, 1.1, 1.21, 1.331, 1.464, 1.611, 1.772, 1.949, 2.144, 2.358, 2.594, 2.853, 3.138, 3.452, 3.797, 4.177, 4.595, 5.054, 5.56, 6.116, 6.727, 7.4, 8.14, 8.954, 9.85, 10.835, 11.918, 13.11, 14.421, 15.863, 17.449, 19.194, 21.114]"
max_recursive_iterations1,"[0.0, 1.0, 1.1, 1.21, 1.331, 1.464, 1.611, 1.772, 1.949, 2.144, 2.358, 2.594, 2.853, 3.138, 3.452, 3.797, 4.177, 4.595, 5.054, 5.56, 6.116, 6.727, 7.4, 8.14, 8.954, 9.85, 10.835, 11.918, 13.11, 14.421, 15.863, 17.449, 19.194, 21.114]"
max_recursive_iterations1,"[0.0, 1.0, 1.1, 1.21, 1.331, 1.464, 1.611, 1.772, 1.949, 2.144, 2.358, 2.594, 2.853, 3.138, 3.452, 3.797, 4.177, 4.595, 5.054, 5.56, 6.116, 6.727, 7.4, 8.14, 8.954, 9.85, 10.835, 11.918, 13.11, 14.421, 15.863, 17.449, 19.194, 21.114]"
max_recursive_iterations1,"[0.0, 1.0, 1.1, 1.21, 1.331, 1.464, 1.611, 1.772, 1.949, 2.144, 2.358, 2.594, 2.853, 3.138, 3.452, 3.797, 4.177, 4.595, 5.054, 5.56, 6.116, 6.727, 7.4, 8.14, 8.954, 9.85, 10.835, 11.918, 13.11, 14.421, 15.863, 17.449, 19.194, 21.114]"
max_recursive_iterations1,"[0.0, 1.0, 1.1, 1.21, 1.331, 1.464, 1.611, 1.772, 1.949, 2.144, 2.358, 2.594, 2.853, 3.138, 3.452, 3.797, 4.177, 4.595, 5.054, 5.56, 6.116, 6.727, 7.4, 8.14, 8.954, 9.85, 10.835, 11.918, 13.11, 14.421, 15.863, 17.449, 19.194, 21.114]"
max_recursive_iterations1,"[0.0, 1.0, 1.1, 1.21, 1.331, 1.464, 1.611, 1.772, 1.949, 2.144, 2.358, 2.594, 2.853, 3.138, 3.452, 3.797, 4.177, 4.595, 5.054, 5.56, 6.116, 6.727, 7.4, 8.14, 8.954, 9.85, 10.835, 11.918, 13.11, 14.421, 15.863, 17.449, 19.194, 21.114]"
max_recursive_iterations1,"[0.0, 1.0, 1.1, 1.21, 1.331, 1.464, 1.611, 1.772, 1.949, 2.144, 2.358, 2.594, 2.853, 3.138, 3.452, 3.797, 4.177, 4.595, 5.054, 5.56, 6.116, 6.727, 7.4, 8.14, 8.954, 9.85, 10.835, 11.918, 13.11, 14.421, 15.863, 17.449, 19.194, 21.114]"
max_recursive_iterations1,"[0.0, 1.0, 1.1, 1.21, 1.331, 1.464, 1.611, 1.772, 1.949, 2.144, 2.358, 2.594, 2.853, 3.138, 3.452, 3.797, 4.177, 4.595, 5.054, 5.56, 6.116, 6.727, 7.4, 8.14, 8.954, 9.85, 10.835, 11.918, 13.11, 14.421, 15.863, 17.449, 19.194, 21.114]"
